id;project;vertices;edges;age_days;developers;distinct_operations;commits
21;facebook/rocksdb;3;2;2585;2;2;2
27;facebook/rocksdb;3;2;120;1;2;2
30;facebook/rocksdb;3;2;406;1;2;2
32;facebook/rocksdb;3;2;1715;2;2;2
35;facebook/rocksdb;3;3;268;1;1;3
40;facebook/rocksdb;3;2;150;1;1;2
52;facebook/rocksdb;3;3;1221;2;1;3
53;facebook/rocksdb;3;2;786;1;1;2
56;facebook/rocksdb;3;3;2964;2;1;3
57;facebook/rocksdb;3;3;2964;2;1;3
71;facebook/rocksdb;3;2;216;1;2;2
72;facebook/rocksdb;4;5;2963;4;2;5
76;facebook/rocksdb;3;3;2963;2;1;3
77;facebook/rocksdb;7;7;2983;5;2;7
79;facebook/rocksdb;6;6;2983;5;2;6
85;facebook/rocksdb;3;3;2963;2;1;3
91;facebook/rocksdb;3;2;1943;2;1;2
102;facebook/rocksdb;3;3;2963;2;1;3
103;facebook/rocksdb;3;3;2963;2;1;3
105;facebook/rocksdb;4;4;2962;2;1;4
107;facebook/rocksdb;3;2;1217;2;2;2
117;facebook/rocksdb;3;3;2179;2;1;3
123;facebook/rocksdb;3;2;525;2;1;2
126;facebook/rocksdb;3;2;215;2;2;2
127;facebook/rocksdb;3;3;2178;2;1;3
134;facebook/rocksdb;3;2;835;2;2;2
141;facebook/rocksdb;3;3;2116;2;2;3
143;facebook/rocksdb;3;2;106;2;1;2
145;facebook/rocksdb;3;4;752;3;1;4
146;facebook/rocksdb;4;3;870;2;2;3
152;facebook/rocksdb;2;3;547;2;1;3
156;facebook/rocksdb;3;3;1570;2;2;3
162;facebook/rocksdb;3;2;13;2;1;2
170;facebook/rocksdb;3;2;29;2;1;2
194;facebook/rocksdb;4;4;877;3;1;4
198;facebook/rocksdb;4;4;877;3;1;4
200;facebook/rocksdb;4;4;877;3;1;4
203;facebook/rocksdb;4;4;877;3;1;4
204;facebook/rocksdb;4;4;877;3;1;4
206;facebook/rocksdb;4;4;877;3;1;4
211;facebook/rocksdb;4;4;877;3;1;4
212;facebook/rocksdb;4;4;877;3;1;4
213;facebook/rocksdb;4;4;877;3;1;4
215;facebook/rocksdb;2;2;0;1;1;2
216;facebook/rocksdb;2;2;0;1;1;2
217;facebook/rocksdb;2;2;0;1;1;2
218;facebook/rocksdb;2;2;0;1;1;2
219;facebook/rocksdb;2;2;0;1;1;2
220;facebook/rocksdb;2;2;0;1;1;2
221;facebook/rocksdb;2;2;0;1;1;2
222;facebook/rocksdb;2;2;0;1;1;2
223;facebook/rocksdb;2;2;0;1;1;2
224;facebook/rocksdb;2;2;0;1;1;2
225;facebook/rocksdb;2;2;0;1;1;2
226;facebook/rocksdb;2;2;0;1;1;2
