id;project;vertices;edges;age_days;developers;distinct_operations;commits
0;PhilJay/MPAndroidChart;2;2;684;2;1;2
1;PhilJay/MPAndroidChart;2;2;684;2;2;2
2;PhilJay/MPAndroidChart;2;3;1504;2;1;3
3;PhilJay/MPAndroidChart;3;4;684;2;2;2
4;PhilJay/MPAndroidChart;2;2;684;2;1;2
5;PhilJay/MPAndroidChart;2;2;684;2;1;2
6;PhilJay/MPAndroidChart;2;2;684;2;1;2
7;PhilJay/MPAndroidChart;3;3;1572;3;2;3
8;PhilJay/MPAndroidChart;2;3;1504;2;1;3
9;PhilJay/MPAndroidChart;2;2;684;2;1;2
10;PhilJay/MPAndroidChart;2;2;684;2;1;2
11;PhilJay/MPAndroidChart;2;3;1504;2;1;3
12;PhilJay/MPAndroidChart;2;2;684;2;1;2
13;PhilJay/MPAndroidChart;2;2;684;2;1;2
14;PhilJay/MPAndroidChart;3;3;1572;3;3;3
15;PhilJay/MPAndroidChart;3;3;1567;3;2;3
16;PhilJay/MPAndroidChart;3;3;1572;3;1;3
17;PhilJay/MPAndroidChart;3;3;1572;3;1;3
18;PhilJay/MPAndroidChart;2;2;684;2;1;2
19;PhilJay/MPAndroidChart;2;2;684;2;1;2
20;PhilJay/MPAndroidChart;2;2;684;2;1;2
21;PhilJay/MPAndroidChart;4;4;1572;3;2;4
22;PhilJay/MPAndroidChart;2;2;684;2;1;2
24;PhilJay/MPAndroidChart;5;4;820;2;2;2
26;PhilJay/MPAndroidChart;3;2;1118;2;2;2
28;PhilJay/MPAndroidChart;3;2;1118;2;2;2
30;PhilJay/MPAndroidChart;3;2;1542;2;2;2
45;PhilJay/MPAndroidChart;4;3;447;2;2;2
49;PhilJay/MPAndroidChart;3;2;63;1;2;2
50;PhilJay/MPAndroidChart;3;2;132;2;1;2
52;PhilJay/MPAndroidChart;3;2;63;1;2;2
55;PhilJay/MPAndroidChart;3;2;63;1;2;2
77;PhilJay/MPAndroidChart;3;2;59;2;2;2
86;PhilJay/MPAndroidChart;6;5;69;2;2;5
88;PhilJay/MPAndroidChart;6;5;69;2;2;5
98;PhilJay/MPAndroidChart;2;2;29;1;1;2
104;PhilJay/MPAndroidChart;3;2;4;2;2;2
109;PhilJay/MPAndroidChart;3;2;21;2;2;2
125;PhilJay/MPAndroidChart;4;3;28;2;1;3
136;PhilJay/MPAndroidChart;3;2;11;1;1;2
149;PhilJay/MPAndroidChart;3;2;471;1;1;2
150;PhilJay/MPAndroidChart;3;2;471;1;1;2
151;PhilJay/MPAndroidChart;3;2;471;1;1;2
152;PhilJay/MPAndroidChart;3;2;471;1;1;2
153;PhilJay/MPAndroidChart;3;2;471;1;1;2
154;PhilJay/MPAndroidChart;3;2;471;1;1;2
156;PhilJay/MPAndroidChart;3;2;471;1;1;2
159;PhilJay/MPAndroidChart;3;2;471;1;1;2
160;PhilJay/MPAndroidChart;3;2;471;1;1;2
161;PhilJay/MPAndroidChart;3;2;471;1;1;2
162;PhilJay/MPAndroidChart;3;2;471;1;1;2
163;PhilJay/MPAndroidChart;3;2;471;1;1;2
169;PhilJay/MPAndroidChart;3;2;1;1;1;2
171;PhilJay/MPAndroidChart;3;2;0;1;1;2
