id;project;vertices;edges;age_days;developers;distinct_operations;commits
0;square/retrofit;7;6;1130;1;2;2
2;square/retrofit;3;2;9;1;1;2
3;square/retrofit;11;10;840;2;3;3
4;square/retrofit;3;2;840;1;1;2
8;square/retrofit;3;2;117;2;2;2
9;square/retrofit;3;2;831;2;2;2
12;square/retrofit;4;3;731;1;2;2
13;square/retrofit;3;2;731;1;2;2
36;square/retrofit;2;2;37;2;1;2
42;square/retrofit;4;3;83;1;2;3
43;square/retrofit;3;2;62;1;2;2
44;square/retrofit;3;2;77;2;1;2
45;square/retrofit;3;2;77;2;1;2
47;square/retrofit;3;2;77;2;1;2
49;square/retrofit;3;2;77;2;1;2
56;square/retrofit;3;2;171;2;2;2
59;square/retrofit;3;2;77;2;1;2
74;square/retrofit;3;2;58;2;1;2
75;square/retrofit;3;2;56;2;2;2
79;square/retrofit;3;2;43;2;1;2
81;square/retrofit;3;2;10;1;2;2
83;square/retrofit;3;2;10;1;2;2
92;square/retrofit;3;2;17;2;2;2
105;square/retrofit;5;4;472;3;2;3
107;square/retrofit;3;2;80;1;1;2
108;square/retrofit;3;2;451;2;2;2
120;square/retrofit;3;2;448;2;2;2
123;square/retrofit;3;2;502;2;2;2
127;square/retrofit;3;2;184;2;1;2
129;square/retrofit;4;3;31;1;2;2
133;square/retrofit;2;2;4;1;2;2
134;square/retrofit;2;2;4;1;2;2
139;square/retrofit;3;2;13;1;2;2
159;square/retrofit;3;2;431;2;2;2
0;elastic/elasticsearch;4;3;287;2;1;3
1;elastic/elasticsearch;8;7;62;2;3;2
6;elastic/elasticsearch;3;2;232;1;1;2
7;elastic/elasticsearch;4;4;419;4;2;4
91;elastic/elasticsearch;3;2;426;2;2;2
94;elastic/elasticsearch;4;3;31;1;1;2
103;elastic/elasticsearch;3;2;16;2;1;2
113;elastic/elasticsearch;3;2;438;2;2;2
118;elastic/elasticsearch;3;3;91;2;2;3
127;elastic/elasticsearch;3;2;64;2;1;2
131;elastic/elasticsearch;3;2;291;2;2;2
146;elastic/elasticsearch;3;2;282;2;2;2
153;elastic/elasticsearch;3;2;27;1;2;2
155;elastic/elasticsearch;4;4;243;2;1;2
163;elastic/elasticsearch;5;4;187;2;2;3
182;elastic/elasticsearch;3;2;427;2;2;2
186;elastic/elasticsearch;3;3;4;1;3;2
189;elastic/elasticsearch;3;2;419;2;2;2
192;elastic/elasticsearch;4;4;2;2;4;3
220;elastic/elasticsearch;5;4;448;3;2;3
230;elastic/elasticsearch;3;2;63;2;2;2
298;elastic/elasticsearch;4;3;303;3;3;3
301;elastic/elasticsearch;4;3;48;2;2;2
309;elastic/elasticsearch;3;2;239;2;2;2
313;elastic/elasticsearch;3;2;148;2;2;2
319;elastic/elasticsearch;2;2;13;1;2;2
324;elastic/elasticsearch;3;2;374;2;2;2
332;elastic/elasticsearch;4;3;281;2;2;2
338;elastic/elasticsearch;3;2;242;2;2;2
353;elastic/elasticsearch;3;2;10;1;1;2
368;elastic/elasticsearch;3;2;12;1;1;2
464;elastic/elasticsearch;3;2;146;2;2;2
505;elastic/elasticsearch;3;2;146;2;2;2
542;elastic/elasticsearch;3;2;165;1;1;2
565;elastic/elasticsearch;15;22;281;2;2;2
588;elastic/elasticsearch;4;3;111;3;2;3
590;elastic/elasticsearch;3;2;86;1;1;2
591;elastic/elasticsearch;3;2;183;2;1;2
593;elastic/elasticsearch;3;2;106;1;2;2
604;elastic/elasticsearch;8;7;25;2;1;2
627;elastic/elasticsearch;3;2;7;1;1;2
638;elastic/elasticsearch;3;2;41;2;1;2
649;elastic/elasticsearch;3;2;18;2;2;2
664;elastic/elasticsearch;4;3;133;1;1;2
674;elastic/elasticsearch;3;2;18;1;2;2
680;elastic/elasticsearch;2;2;10;1;2;2
684;elastic/elasticsearch;18;27;320;3;3;4
685;elastic/elasticsearch;3;2;50;2;2;2
687;elastic/elasticsearch;3;2;64;1;1;2
693;elastic/elasticsearch;14;13;140;1;2;3
694;elastic/elasticsearch;3;2;201;2;2;2
714;elastic/elasticsearch;4;3;3;1;2;2
719;elastic/elasticsearch;13;14;175;3;2;3
721;elastic/elasticsearch;4;3;151;2;2;2
736;elastic/elasticsearch;3;2;53;1;1;2
763;elastic/elasticsearch;3;2;40;2;2;2
765;elastic/elasticsearch;7;6;80;2;2;2
767;elastic/elasticsearch;6;5;270;2;2;2
778;elastic/elasticsearch;6;5;88;2;2;2
779;elastic/elasticsearch;2;2;88;1;2;2
788;elastic/elasticsearch;4;3;122;3;3;3
797;elastic/elasticsearch;2;2;37;1;2;2
798;elastic/elasticsearch;8;7;33;2;2;2
803;elastic/elasticsearch;4;3;113;2;2;2
804;elastic/elasticsearch;4;3;113;2;2;2
805;elastic/elasticsearch;3;2;113;2;2;2
822;elastic/elasticsearch;4;3;25;2;3;2
828;elastic/elasticsearch;3;2;25;2;2;2
845;elastic/elasticsearch;3;2;1;2;2;2
865;elastic/elasticsearch;3;2;103;2;2;2
872;elastic/elasticsearch;3;2;103;2;2;2
882;elastic/elasticsearch;10;13;279;3;2;3
909;elastic/elasticsearch;3;3;226;3;2;3
910;elastic/elasticsearch;6;5;133;3;3;3
911;elastic/elasticsearch;5;4;133;2;2;2
915;elastic/elasticsearch;5;4;131;2;2;2
928;elastic/elasticsearch;3;2;15;2;1;2
930;elastic/elasticsearch;4;3;268;3;2;3
932;elastic/elasticsearch;3;2;139;2;2;2
957;elastic/elasticsearch;7;6;127;2;2;2
990;elastic/elasticsearch;4;3;262;3;2;3
1001;elastic/elasticsearch;3;2;7;1;2;2
1015;elastic/elasticsearch;3;2;21;2;2;2
1017;elastic/elasticsearch;3;2;212;2;2;2
1044;elastic/elasticsearch;5;4;16;1;2;2
1065;elastic/elasticsearch;3;2;196;2;1;2
1080;elastic/elasticsearch;3;2;2;1;2;2
1081;elastic/elasticsearch;3;2;2;1;1;2
1168;elastic/elasticsearch;3;2;89;2;2;2
1170;elastic/elasticsearch;3;2;60;2;2;2
1183;elastic/elasticsearch;6;5;195;2;1;2
1192;elastic/elasticsearch;8;9;27;2;3;3
1209;elastic/elasticsearch;3;2;54;2;1;2
1239;elastic/elasticsearch;3;2;202;2;2;2
1243;elastic/elasticsearch;3;2;26;2;1;2
1244;elastic/elasticsearch;3;2;44;2;2;2
1264;elastic/elasticsearch;4;3;13;2;2;2
1273;elastic/elasticsearch;5;4;113;2;2;2
1280;elastic/elasticsearch;7;6;153;2;3;3
1312;elastic/elasticsearch;8;7;28;2;2;2
1313;elastic/elasticsearch;3;2;28;2;1;2
1335;elastic/elasticsearch;3;2;71;1;1;2
1341;elastic/elasticsearch;4;3;6;3;2;3
1349;elastic/elasticsearch;5;4;10;2;2;2
1364;elastic/elasticsearch;3;2;106;1;1;2
1371;elastic/elasticsearch;3;2;24;2;1;2
1372;elastic/elasticsearch;5;4;131;1;2;2
1375;elastic/elasticsearch;3;2;45;2;2;2
1382;elastic/elasticsearch;3;2;7;2;2;2
1455;elastic/elasticsearch;3;2;3;1;2;2
1489;elastic/elasticsearch;3;2;139;2;1;2
1490;elastic/elasticsearch;3;2;139;2;1;2
1491;elastic/elasticsearch;3;2;139;2;1;2
1492;elastic/elasticsearch;3;2;139;2;1;2
1496;elastic/elasticsearch;3;2;139;2;1;2
1497;elastic/elasticsearch;3;2;139;2;1;2
1498;elastic/elasticsearch;3;2;139;2;1;2
1499;elastic/elasticsearch;3;2;139;2;1;2
1500;elastic/elasticsearch;3;2;139;2;1;2
1501;elastic/elasticsearch;3;2;139;2;1;2
1503;elastic/elasticsearch;3;2;139;2;1;2
1504;elastic/elasticsearch;3;2;139;2;1;2
1506;elastic/elasticsearch;3;2;139;2;1;2
1517;elastic/elasticsearch;3;2;4;2;2;2
1543;elastic/elasticsearch;3;2;18;2;2;2
1551;elastic/elasticsearch;4;3;18;2;2;2
1556;elastic/elasticsearch;3;2;7;1;1;2
1576;elastic/elasticsearch;3;2;126;2;1;2
1619;elastic/elasticsearch;4;3;2;2;3;2
1774;elastic/elasticsearch;3;2;27;2;2;2
1804;elastic/elasticsearch;3;2;21;1;2;2
1839;elastic/elasticsearch;8;7;35;1;2;2
1922;elastic/elasticsearch;5;4;30;1;2;2
1978;elastic/elasticsearch;3;2;14;2;2;2
1983;elastic/elasticsearch;4;3;7;2;1;2
2004;elastic/elasticsearch;6;5;3;2;2;2
2010;elastic/elasticsearch;3;2;4;2;2;2
2055;elastic/elasticsearch;4;3;6;2;2;2
2072;elastic/elasticsearch;3;2;1;2;2;2
1;square/okhttp;3;2;737;2;2;2
2;square/okhttp;3;2;17;1;1;2
6;square/okhttp;37;38;967;2;4;5
7;square/okhttp;4;3;967;2;2;3
14;square/okhttp;3;2;4;1;2;2
18;square/okhttp;3;2;1141;2;2;2
19;square/okhttp;3;2;0;1;2;2
23;square/okhttp;3;2;1141;2;2;2
30;square/okhttp;3;2;1;1;2;2
35;square/okhttp;12;11;1148;2;4;6
39;square/okhttp;3;2;962;2;1;2
40;square/okhttp;2;2;35;1;1;2
41;square/okhttp;2;2;35;1;2;2
44;square/okhttp;3;2;0;2;1;2
49;square/okhttp;3;2;184;1;1;2
50;square/okhttp;3;2;654;1;1;2
57;square/okhttp;4;3;11;1;2;2
71;square/okhttp;3;2;625;2;2;2
72;square/okhttp;3;2;346;1;2;2
85;square/okhttp;8;7;548;2;3;3
86;square/okhttp;3;2;456;2;2;2
110;square/okhttp;3;3;86;1;2;2
153;square/okhttp;4;3;177;1;2;2
157;square/okhttp;3;2;32;2;1;2
229;square/okhttp;4;3;889;2;2;3
238;square/okhttp;57;56;923;3;6;18
239;square/okhttp;3;2;978;2;2;2
251;square/okhttp;5;4;697;2;2;2
253;square/okhttp;5;4;341;1;2;2
254;square/okhttp;3;2;684;2;1;2
255;square/okhttp;3;2;163;1;2;2
260;square/okhttp;6;5;697;2;3;3
263;square/okhttp;4;3;698;2;2;3
264;square/okhttp;3;2;583;1;2;2
268;square/okhttp;7;6;363;2;3;4
275;square/okhttp;4;3;399;2;2;3
277;square/okhttp;4;3;469;3;3;3
280;square/okhttp;2;2;8;2;1;2
295;square/okhttp;5;4;315;2;2;2
299;square/okhttp;3;2;23;2;1;2
301;square/okhttp;7;6;380;3;3;5
302;square/okhttp;4;3;554;2;2;3
303;square/okhttp;3;2;17;2;2;2
322;square/okhttp;10;9;357;2;4;5
329;square/okhttp;5;4;254;2;3;2
330;square/okhttp;3;2;22;2;1;2
347;square/okhttp;3;2;2;2;2;2
351;square/okhttp;11;10;116;3;3;6
354;square/okhttp;4;3;63;1;2;2
357;square/okhttp;3;2;64;2;2;2
363;square/okhttp;4;3;109;2;1;3
364;square/okhttp;3;2;48;2;2;2
365;square/okhttp;3;2;109;2;1;2
366;square/okhttp;3;2;109;2;1;2
369;square/okhttp;3;2;12;1;2;2
381;square/okhttp;7;7;2;1;3;2
382;square/okhttp;11;17;2;1;2;2
386;square/okhttp;4;3;239;2;2;2
416;square/okhttp;4;3;239;2;2;2
440;square/okhttp;6;5;63;1;4;4
462;square/okhttp;3;2;46;2;1;2
465;square/okhttp;3;2;3;2;2;2
468;square/okhttp;7;6;293;2;3;4
469;square/okhttp;3;2;46;2;2;2
476;square/okhttp;37;37;184;4;3;4
480;square/okhttp;3;2;1;2;2;2
497;square/okhttp;23;28;21;1;3;3
499;square/okhttp;3;2;9;2;2;2
503;square/okhttp;26;25;13;2;6;5
504;square/okhttp;3;2;12;1;1;2
